İlan Numarası,price,location,İlan Güncelleme Tarihi,Kategorisi,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,Krediye Uygunluk,Yapı Tipi,Eşya Durumu,Banyo Sayısı,Balkon Sayısı,WC Sayısı,İlan Oluşturma Tarihi,Türü,Tipi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Yatırıma Uygunluk,Site İçerisinde,Takas,Balkon Durumu,Balkon Tipi,Fiyat Durumu,Tapu Durumu,İpotek Durumu,Kira Getirisi,Yapı Durumu,Zemin Etüdü,Görüntülü Gezilebilir mi?,Aidat,Banyo Metrekare,Balkon Metrekare,WC Metrekare,Salon Metrekare,Ada,Parsel,Pafta,Balkon Tipi Fransız Balkon
14408218,"2,650,000TL",Antalya - Serik - Yeni Mahallesi,16 Aralık 2023,Satılık,90 M2,2+1,Yüksek Giriş,Klimalı,Bilinmiyor,,Boş,1,,,16 Aralık 2023,Konut,Daire,110 M2,0 (Yeni),6,Boş,,Hayır,,,,Genel Fiyat,,,,,,,,,,,,,,,
14405363,"2,750,000TL",Antalya - Kepez - Santral Mahallesi,20 Aralık 2023,Satılık,80 M2,2+1,6.Kat,Merkezi (Pay Ölçer),Krediye Uygun,,,1,,2,16 Aralık 2023,Konut,Daire,94 M2,1,11,Boş,,Hayır,,Var,,Genel Fiyat,Kat Mülkiyeti,,15000 TL,Sıfır,,Evet,,,,,,,,,
14404267,"1,530,000TL",Antalya - Kepez - Teomanpaşa Mahallesi,16 Aralık 2023,Satılık,60 M2,1+1,Düz Giriş (Zemin),Klimalı,Krediye Uygun,,,1,,,16 Aralık 2023,Konut,Daire,70 M2,5-10,3,Boş,Bilinmiyor,Hayır,Yok,,,Genel Fiyat,,,,,,,,,,,,,,,
14401541,"4,780,000TL",Antalya - Alanya - Demirtaş Mahallesi,15 Aralık 2023,Satılık,110 M2,2+1,4.Kat,Klimalı,Krediye Uygun,Betonarme,,2,,2,15 Aralık 2023,Konut,Daire,120 M2,5-10,5,Boş,Yatırıma Uygun,Hayır,,Var,,Genel Fiyat,Kat Mülkiyeti,Yok,15000 TL,İkinci El,,,1000 TL,,,,,,,,
14400030,"3,200,000TLarrow_downward%3",Antalya - Kepez - Şelale Mahallesi,20 Aralık 2023,Satılık,140 M2,3+1,4.Kat,Klimalı,Bilinmiyor,,,1,2,2,15 Aralık 2023,Konut,Daire,155 M2,5-10,5,Mülk Sahibi Oturuyor,Yatırıma Uygun,Evet,,Var," Kapalı Balkon, Kapalı Teras  ",Genel Fiyat,Kat Mülkiyeti,,14000 TL,,,,,,,,,,,,
14399514,"2,670,000TL",Antalya - Konyaaltı - Liman Mahallesi,20 Aralık 2023,Satılık,60 M2,1+1,Yüksek Giriş,Klimalı,Krediye Uygun,Betonarme,Eşyalı,1,1,1,15 Aralık 2023,Konut,Daire,65 M2,5-10,4,Boş,Yatırıma Uygun,Hayır,Yok,Var,,Genel Fiyat,Kat Mülkiyeti,Var,,İkinci El,Var,Evet,,,,,,,,,
14399207,"23,000,000TLarrow_downward%18",Antalya - Döşemealtı - Altınkale Mahallesi,20 Aralık 2023,Satılık,300 M2,5+1,Villa Tipi,Şömine,Bilinmiyor,,,4,1,,15 Aralık 2023,Konut,Daire,517 M2,1,2,Mülk Sahibi Oturuyor,,Hayır,,Var,,Genel Fiyat,,,65000 TL,,,,,,,,,,,,
14397715,"1,500,000TL",Antalya - Kepez - Gazi Mahallesi,20 Aralık 2023,Satılık,65 M2,1+1,Yüksek Giriş,Klimalı,Krediye Uygun,,,1,,,14 Aralık 2023,Konut,Daire,70 M2,5-10,3,Boş,,Hayır,,,,Genel Fiyat,,,,,,,,,,,,,,,
14396659,"2,900,000TL",Antalya - Kepez - Şelale Mahallesi,16 Aralık 2023,Satılık,100 M2,2+1,3.Kat,Yerden Isıtma,Krediye Uygun,,,1,,1,14 Aralık 2023,Konut,Daire,115 M2,0 (Yeni),4,Boş,Bilinmiyor,Hayır,Var,,,Genel Fiyat,Kat İrtifakı,,,Sıfır,Var,,,,,,,,,,
14396591,"2,750,000TL",Antalya - Alanya - Mahmutlar Mahallesi,14 Aralık 2023,Satılık,95 M2,2+1,Çatı Dubleks,Isıtma Yok,Krediye Uygun,,Boş,3,,3,14 Aralık 2023,Konut,Residence,100 M2,0 (Yeni),5,Boş,Yatırıma Uygun,Hayır,Yok,,,Genel Fiyat,,Yok,14000 TL,Sıfır,,Evet,,,,,,,,,
14395440,"5,750,000TL",Antalya - Konyaaltı - Hurma Mahallesi,14 Aralık 2023,Satılık,180 M2,3+1,4.Kat,Kombi Doğalgaz,Krediye Uygun,Betonarme,,2,2,2,14 Aralık 2023,Konut,Daire,200 M2,5-10,4,Boş,Yatırıma Uygun,Evet,Yok,Var,Açık Teras,Genel Fiyat,Kat Mülkiyeti,,35000 TL,İkinci El,Var,Hayır,800 TL,,,,,,,,
14395233,"8,500,000TL",Antalya - Kepez - Ayanoğlu Mahallesi,14 Aralık 2023,Satılık,135 M2,3+1,,Klimalı,Krediye Uygun,,Boş,2,,1,14 Aralık 2023,Konut,Villa,140 M2,0 (Yeni),2,Mülk Sahibi Oturuyor,Yatırıma Uygun,Hayır,,Var,,Genel Fiyat,Kat Mülkiyeti,,,,,,,,,,,,,,
14390160,"3,650,000TL",Antalya - Aksu - Altıntaş Mahallesi,20 Aralık 2023,Satılık,90 M2,2+1,Düz Giriş (Zemin),Isıtma Yok,Krediye Uygun Değil,,,1,,,13 Aralık 2023,Konut,Daire,95 M2,0 (Yeni),4,Boş,,Evet,,Var,,Genel Fiyat,Kat İrtifakı,,,,,,,,,,,,,,
14388751,"16,000,000TL",Antalya - Döşemealtı - Yeşilbayır Mahallesi,19 Aralık 2023,Satılık,240 M2,4+2,,Yerden Isıtma,Krediye Uygun,,,4,,,12 Aralık 2023,Konut,Villa,276 M2,0 (Yeni),2,Boş,,Hayır,,,,Genel Fiyat,,,,,,,,,,,,,,,
14387181,"7,900,000TLarrow_downward%4",Antalya - Muratpaşa - Yıldız Mahallesi,19 Aralık 2023,Satılık,120 M2,3+1,4.Kat,Yerden Isıtma,Krediye Uygun,,,2,,,12 Aralık 2023,Konut,Daire,142 M2,0 (Yeni),10,Boş,,Hayır,,,,Genel Fiyat,,,,,,,,,,,,,,,
14386441,"1,850,000TL",Antalya - Kepez - Ayanoğlu Mahallesi,12 Aralık 2023,Satılık,58 M2,1+1,Yüksek Giriş,Klimalı,Krediye Uygun,,,1,,,12 Aralık 2023,Konut,Daire,60 M2,0 (Yeni),4,Boş,Yatırıma Uygun,Hayır,,,,Genel Fiyat,,,,Sıfır,,,,,,,,,,,
14386183,"3,100,000TL",Antalya - Kepez - Hüsnü Karakaş Mahallesi,13 Aralık 2023,Satılık,130 M2,3+1,1.Kat,Klimalı,Krediye Uygun,,,2,,,12 Aralık 2023,Konut,Daire,135 M2,0 (Yeni),3,Boş,,Hayır,,Var,,Genel Fiyat,,,,,,,,,,,,,,,
14376017,"2,750,000TL",Antalya - Muratpaşa - Kızılarık Mahallesi,09 Aralık 2023,Satılık,135 M2,3+1,4.Kat,Klimalı,Krediye Uygun Değil,,,1,,,09 Aralık 2023,Konut,Daire,145 M2,5-10,4,Boş,Bilinmiyor,Hayır,Yok,,,Genel Fiyat,Bilinmiyor,,,,,,30 TL,,,,,,,,
14374489,"22,500TL",Antalya - Kaş - Kalkan Mahallesi,14 Aralık 2023,Satılık,50 M2,1+1,Bahçe Katı,Klimalı,Krediye Uygun Değil,Ahşap,,1,,,09 Aralık 2023,Konut,Yazlık,60 M2,0 (Yeni),1,Boş,Bilinmiyor,Hayır,Var,,,Genel Fiyat,,,,Sıfır,,,,,,,,,,,
14373965,"1,880,000TL",Antalya - Kepez - Aydoğmuş Mahallesi,09 Aralık 2023,Satılık,100 M2,2+1,1.Kat,Klimalı,Krediye Uygun,,,1,,,09 Aralık 2023,Konut,Daire,115 M2,5-10,3,Mülk Sahibi Oturuyor,Yatırıma Uygun,Hayır,,,,Genel Fiyat,,,,,,,,,,,,,,,
14373346,"3,025,086TL",Antalya - Alanya - Avsallar Mahallesi,09 Aralık 2023,Satılık,73 M2,1+1,5.Kat,Klimalı,Krediye Uygun Değil,,Eşyalı,1,,,08 Aralık 2023,Konut,Daire,80 M2,5-10,7,Boş,Bilinmiyor,Evet,Yok,,,Genel Fiyat,,,,,,,,,,,,,,,
14373345,"3,305,764TL",Antalya - Alanya - Avsallar Mahallesi,09 Aralık 2023,Satılık,55 M2,1+1,3.Kat,Klimalı,Krediye Uygun Değil,,Eşyalı,1,,,08 Aralık 2023,Konut,Daire,64 M2,3,9,Boş,Bilinmiyor,Evet,Yok,,,Genel Fiyat,,,,,,,,,,,,,,,
14372902,"11,700,000TL",Antalya - Muratpaşa - Güzeloba Mahallesi,19 Aralık 2023,Satılık,140 M2,3+1,2.Kat,Klimalı,Krediye Uygun,Betonarme,Eşyalı,2,,3,08 Aralık 2023,Konut,Daire,170 M2,4,2,Boş,Yatırıma Uygun,Evet,Yok,Var,,Genel Fiyat,Kat İrtifakı,Yok,,İkinci El,Var,Hayır,,,,,,,,,
14369671,"1,950,000TL",Antalya - Kepez - Kütükçü Mahallesi,08 Aralık 2023,Satılık,80 M2,2+1,Yüksek Giriş,Klimalı,Krediye Uygun,,,1,,,08 Aralık 2023,Konut,Daire,90 M2,0 (Yeni),3,Boş,Bilinmiyor,Hayır,Var,,,Genel Fiyat,,,,,,,,,,,,,,,
14369670,"2,750,000TL",Antalya - Kepez - Teomanpaşa Mahallesi,08 Aralık 2023,Satılık,100 M2,2+1,1.Kat,Klimalı,Krediye Uygun,,,2,,,08 Aralık 2023,Konut,Daire,110 M2,5-10,3,Mülk Sahibi Oturuyor,Bilinmiyor,Hayır,Yok,,,Genel Fiyat,Bilinmiyor,,,,,,50 TL,,,,,,,,
14369656,"1,610,000TL",Antalya - Kepez - Teomanpaşa Mahallesi,08 Aralık 2023,Satılık,50 M2,1+1,Yüksek Giriş,Klimalı,Krediye Uygun Değil,,,1,,,08 Aralık 2023,Konut,Daire,65 M2,0 (Yeni),3,Boş,Bilinmiyor,Hayır,Yok,,,Genel Fiyat,,,,,,,,,,,,,,,
14369650,"4,000,000TL",Antalya - Kepez - Düdenbaşı Mahallesi,08 Aralık 2023,Satılık,150 M2,4+1,3.Kat,Klimalı,Krediye Uygun,,,1,,,08 Aralık 2023,Konut,Daire,165 M2,0 (Yeni),4,Boş,Bilinmiyor,Hayır,Yok,,,Genel Fiyat,,,,,,,,,,,,,,,
14369648,"3,400,000TL",Antalya - Aksu - Altıntaş Mahallesi,08 Aralık 2023,Satılık,60 M2,1+1,4.Kat,Klimalı,Krediye Uygun,,,1,,,08 Aralık 2023,Konut,Daire,70 M2,0 (Yeni),5,Boş,Bilinmiyor,Hayır,Yok,,,Genel Fiyat,,,,,,,,,,,,,,,
14369641,"2,990,000TL",Antalya - Muratpaşa - Muratpaşa Mahallesi,08 Aralık 2023,Satılık,135 M2,3+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,,Boş,1,,,08 Aralık 2023,Konut,Daire,145 M2,5-10,4,Mülk Sahibi Oturuyor,Bilinmiyor,Hayır,Yok,,,Genel Fiyat,,,,,,,,,,,,,,,
14369639,"1,750,000TL",Antalya - Kepez - Düdenbaşı Mahallesi,08 Aralık 2023,Satılık,80 M2,2+1,Yüksek Giriş,Klimalı,Krediye Uygun,,Boş,1,,,08 Aralık 2023,Konut,Daire,90 M2,5-10,3,Boş,Bilinmiyor,Hayır,Yok,,,Genel Fiyat,,,,,,,,,,,,,,,
14369637,"1,875,000TL",Antalya - Kepez - Düdenbaşı Mahallesi,08 Aralık 2023,Satılık,90 M2,2+1,1.Kat,Klimalı,Krediye Uygun,,Boş,1,,,08 Aralık 2023,Konut,Daire,100 M2,11-15,3,Boş,Bilinmiyor,Hayır,Yok,,,Genel Fiyat,,,,,,,,,,,,,,,
14369634,"1,645,000TL",Antalya - Kepez - Gazi Mahallesi,08 Aralık 2023,Satılık,60 M2,1+1,Yüksek Giriş,Klimalı,Krediye Uygun,,Boş,1,,,08 Aralık 2023,Konut,Daire,70 M2,5-10,3,Boş,Bilinmiyor,Hayır,Yok,,,Genel Fiyat,Kat İrtifakı,,,,,,,,,,,,,,
14369632,"1,690,000TL",Antalya - Kepez - Yeni Mahallesi,08 Aralık 2023,Satılık,60 M2,1+1,Yüksek Giriş,Klimalı,Krediye Uygun,,Boş,1,,,08 Aralık 2023,Konut,Daire,70 M2,5-10,3,Mülk Sahibi Oturuyor,Bilinmiyor,Hayır,Var,,,Genel Fiyat,Kat İrtifakı,,,,,,,,,,,,,,
14369631,"3,500,000TL",Antalya - Muratpaşa - Yenigün Mahallesi,08 Aralık 2023,Satılık,145 M2,3+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,,Boş,1,,,08 Aralık 2023,Konut,Daire,155 M2,21 Ve Üzeri,5,Boş,Bilinmiyor,Hayır,Yok,,,Genel Fiyat,,,,,,,,,,,,,,,
14369624,"2,690,000TL",Antalya - Muratpaşa - Kızılarık Mahallesi,08 Aralık 2023,Satılık,135 M2,3+1,4.Kat,Klimalı,Krediye Uygun Değil,,Boş,1,,,08 Aralık 2023,Konut,Daire,145 M2,5-10,4,Boş,Bilinmiyor,Hayır,Yok,,,Genel Fiyat,Bilinmiyor,,,,,,,,,,,,,,
14366830,"16,500,000TLarrow_downward%3",Antalya - Serik - Belek Mahallesi,19 Aralık 2023,Satılık,180 M2,4+1,,Yerden Isıtma,Krediye Uygun,,,4,,,07 Aralık 2023,Konut,Villa,220 M2,0 (Yeni),2,Boş,,Hayır,,,,Birim Fiyat,,,,,,,,,,,,,,,
14366288,"2,230,000TL",Antalya - Serik - Merkez Mahallesi,07 Aralık 2023,Satılık,130 M2,3+1,4.Kat,Kombi Doğalgaz,Krediye Uygun,Betonarme,Boş,1,2,1,07 Aralık 2023,Konut,Daire,150 M2,5-10,4,Boş,Yatırıma Uygun,Hayır,Yok,Var,Açık Balkon,Birim Fiyat,Kat Mülkiyeti,Yok,15000 TL,İkinci El,Yok,Hayır,100 TL,7 M2,15 M2,3 M2,,,,,
14363807,"2,175,000TL",Antalya - Manavgat - Sarılar Mahallesi,15 Aralık 2023,Satılık,115 M2,3+1,Yüksek Giriş,Sobalı,Krediye Uygun,,Boş,1,,,07 Aralık 2023,Konut,Daire,125 M2,5-10,3,Boş,Bilinmiyor,Hayır,Yok,,,Genel Fiyat,Kat İrtifakı,,,,,,,,,,,,,,
14359298,"2,880,000TL",Antalya - Kepez - Şafak Mahallesi,15 Aralık 2023,Satılık,100 M2,2+1,3.Kat,Klimalı,Krediye Uygun,,,1,,1,06 Aralık 2023,Konut,Daire,105 M2,0 (Yeni),3,Boş,Yatırıma Uygun,Evet,,Var,,Genel Fiyat,Kat Mülkiyeti,,,Sıfır,,,,,,,,,,,
14330906,"3,050,000TLarrow_downward%13",Antalya - Muratpaşa - Yüksekalan Mahallesi,16 Aralık 2023,Satılık,130 M2,3+1,2.Kat,Klimalı,Krediye Uygun,,Eşyalı,2,,,30 Kasım 2023,Konut,Daire,140 M2,5-10,5,Boş,Bilinmiyor,Hayır,Yok,,,Genel Fiyat,Kat İrtifakı,,,,,,,,,,,,,,
14328082,"1,800,000TLarrow_downward%5",Antalya - Alanya - Avsallar Mahallesi,19 Aralık 2023,Satılık,45 M2,1+1,3.Kat,Klimalı,Krediye Uygun,,Eşyalı,1,,,30 Kasım 2023,Konut,Daire,50 M2,0 (Yeni),4,Boş,,Evet,Yok,Var,,Genel Fiyat,,,,,,,,,,,,,,,
14326622,"8,400,000TL",Antalya - Aksu - Altıntaş Mahallesi,19 Aralık 2023,Satılık,65 M2,2+1,3.Kat,Yerden Isıtma,Krediye Uygun,,,2,,,30 Kasım 2023,Konut,Daire,67 M2,0 (Yeni),12,Boş,,Hayır,,,,Birim Fiyat,,,,,,,,,,,,,,,
14326483,"4,930,000TL",Antalya - Aksu - Altıntaş Mahallesi,19 Aralık 2023,Satılık,42 M2,1+1,3.Kat,Yerden Isıtma,Krediye Uygun,,,1,,,30 Kasım 2023,Konut,Daire,46 M2,0 (Yeni),12,Boş,,Hayır,,,,Birim Fiyat,,,,,,,,,,,,,,,
14319042,"3,400,000TL",Antalya - Alanya - Avsallar Mahallesi,28 Kasım 2023,Satılık,95 M2,2+1,3.Kat,Klimalı,Krediye Uygun,,Eşyalı,2,,,28 Kasım 2023,Konut,Daire,115 M2,16-20,4,Boş,Bilinmiyor,Evet,Yok,,,Genel Fiyat,,,,,,,,,,,,,,,
14319040,"2,500,000TL",Antalya - Alanya - Avsallar Mahallesi,28 Kasım 2023,Satılık,90 M2,2+1,3.Kat,Klimalı,Krediye Uygun Değil,,Boş,1,,,28 Kasım 2023,Konut,Daire,100 M2,1,5,Kiracı Oturuyor,Bilinmiyor,Hayır,Var,,,Genel Fiyat,,,,,,,,,,,,,,,
14292105,"1,900,000TL",Antalya - Konyaaltı - Geyikbayırı Mahallesi,20 Aralık 2023,Satılık,250 M2,4+1,,Klimalı,Krediye Uygun,,,2,,,23 Kasım 2023,Konut,Villa,550 M2,21 Ve Üzeri,3,Boş,,Evet,Yok,,,Genel Fiyat,Müstakil Tapulu,,,,,Evet,,,,,,,,,
14285609,"1,610,000TL",Antalya - Kepez - Teomanpaşa Mahallesi,06 Aralık 2023,Satılık,50 M2,1+1,3.Kat,Klimalı,Krediye Uygun Değil,,,1,,,21 Kasım 2023,Konut,Daire,65 M2,0 (Yeni),3,Boş,,Hayır,Yok,,,Genel Fiyat,,,,,,Hayır,,,,,,,,,
14279898,"1,890,000TLarrow_downward%3",Antalya - Döşemealtı - Yeniköy Mahallesi,15 Aralık 2023,Satılık,55 M2,1+1,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun,Betonarme,,1,1,1,20 Kasım 2023,Konut,Daire,70 M2,0 (Yeni),5,Boş,Yatırıma Uygun,Hayır,Var,Var,Açık Balkon,Genel Fiyat,Kat Mülkiyeti,Yok,8000 TL,Sıfır,,Evet,100 TL,,,,,,,,
14279869,"2,950,000TL",Antalya - Muratpaşa - Yüksekalan Mahallesi,16 Aralık 2023,Satılık,100 M2,2+1,4.Kat,Klimalı,Krediye Uygun,,Boş,1,,,20 Kasım 2023,Konut,Daire,115 M2,11-15,5,Boş,Bilinmiyor,Hayır,Var,,,Genel Fiyat,Kat İrtifakı,,,,,,,,,,,,,,
14279853,"3,600,000TLarrow_downward%4",Antalya - Kepez - Gündoğdu Mahallesi,16 Aralık 2023,Satılık,150 M2,4+2,3.Kat,Klimalı,Krediye Uygun Değil,,Boş,2,,,20 Kasım 2023,Konut,Daire,160 M2,11-15,4,Boş,Bilinmiyor,Hayır,Var,,,Genel Fiyat,Kat İrtifakı,,,,,,,,,,,,,,
14278277,"5,650,000TLarrow_downward%2",Antalya - Döşemealtı - Yeniköy Mahallesi,22 Kasım 2023,Satılık,180 M2,3+1,,Klimalı,Krediye Uygun,Betonarme,Boş,2,1,2,20 Kasım 2023,Konut,Villa,270 M2,0 (Yeni),2,Boş,Yatırıma Uygun,Hayır,Var,Var,Açık Balkon,Genel Fiyat,Müstakil Tapulu,Yok,20000 TL,Sıfır,Var,Evet,10 TL,,,,,,,,
14274129,"19,750,000TL",Antalya - Döşemealtı - Yeşilbayır Mahallesi,14 Aralık 2023,Satılık,300 M2,5+1,,Yerden Isıtma,Krediye Uygun,,Boş,4,,,19 Kasım 2023,Konut,Villa,520 M2,1,2,Mülk Sahibi Oturuyor,Bilinmiyor,Hayır,Var,,,Genel Fiyat,,,,,,,,,,,,,,,
14267647,"6,500,000TL",Antalya - Kepez - Gülveren Mahallesi,19 Aralık 2023,Satılık,112 M2,3+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,Betonarme,Boş,2,,2,17 Kasım 2023,Konut,Daire,135 M2,5-10,7,Boş,Yatırıma Uygun,Hayır,Var,Var,,Genel Fiyat,Kat İrtifakı,Yok,,İkinci El,,Hayır,,3 M2,,2 M2,36 M2,,,,
14264535,"1,600,000TL",Antalya - Kepez - Teomanpaşa Mahallesi,06 Aralık 2023,Satılık,50 M2,1+1,Yüksek Giriş,Klimalı,Krediye Uygun Değil,,Boş,1,,,17 Kasım 2023,Konut,Daire,65 M2,0 (Yeni),3,Boş,Bilinmiyor,Hayır,Yok,,,Genel Fiyat,,,,,,,,,,,,,,,
14255462,"3,000,000TL",Antalya - Kepez - Kepez Mahallesi,20 Aralık 2023,Satılık,67 M2,1+1,4.Kat,Merkezi (Pay Ölçer),Krediye Uygun Değil,Betonarme,Boş,1,1,1,15 Kasım 2023,Konut,Daire,72 M2,0 (Yeni),11,Boş,,Evet,,Var,Açık Balkon,Genel Fiyat,Kat Mülkiyeti,Yok,,Sıfır,,,,,,,,,,,
14222252,"2,200,000TL",Antalya - Muratpaşa - Çaybaşı Mahallesi,19 Aralık 2023,Satılık,130 M2,2+1,6.Kat,Klimalı,Krediye Uygun,,,1,,,06 Kasım 2023,Konut,Daire,135 M2,21 Ve Üzeri,7,Kiracı Oturuyor,,Hayır,,,,Genel Fiyat,,,,,,,,,,,,,,,
14220844,"4,500,000TL",Antalya - Manavgat - Side Mahallesi,06 Kasım 2023,Satılık,90 M2,2+1,1.Kat,Klimalı,Krediye Uygun,,Eşyalı,2,,,06 Kasım 2023,Konut,Daire,110 M2,11-15,5,Boş,Bilinmiyor,Evet,Yok,,,Genel Fiyat,,,,,,,,,,,,,,,
14206909,"6,900,000TL",Antalya - Manavgat - Aydınevler Mahallesi,15 Aralık 2023,Satılık,140 M2,3+1,2.Kat,Yerden Isıtma,Krediye Uygun,,Boş,2,,,03 Kasım 2023,Konut,Daire,160 M2,2,5,Kiracı Oturuyor,Bilinmiyor,Hayır,Yok,,,Genel Fiyat,Kat İrtifakı,,,,,,,,,,,,,,
14192728,"13,000,000TL",Antalya - Muratpaşa - Güzeloba Mahallesi,16 Aralık 2023,Satılık,380 M2,5+2,8.Kat,Klimalı,Krediye Uygun,,Boş,3,,2,31 Ekim 2023,Konut,Daire,400 M2,11-15,9,Kiracı Oturuyor,,Hayır,Var,,,Genel Fiyat,,,,İkinci El,,,,,,,,,,,
14185786,"4,300,000TL",Antalya - Kepez - Şelale Mahallesi,06 Aralık 2023,Satılık,280 M2,6+1,Villa Tipi,Klimalı,Krediye Uygun,,Boş,2,,,30 Ekim 2023,Konut,Daire,320 M2,21 Ve Üzeri,3,Kiracı Oturuyor,Bilinmiyor,Evet,Var,,,Genel Fiyat,,,,,,,,,,,,,,,
14179629,"3,000,000TL",Antalya - Konyaaltı - Hurma Mahallesi,17 Aralık 2023,Satılık,50 M2,1+1,Düz Giriş (Zemin),Klimalı,Krediye Uygun,,Boş,1,,1,29 Ekim 2023,Konut,Daire,55 M2,4,4,Boş,,Hayır,Yok,,,Genel Fiyat,,,,İkinci El,,,,,,,,,,,
14174820,"3,300,000TL",Antalya - Manavgat - Sarılar Mahallesi,18 Aralık 2023,Satılık,59 M2,1+1,2.Kat,Yerden Isıtma,Krediye Uygun,,Boş,1,,,28 Ekim 2023,Konut,Daire,60 M2,0 (Yeni),6,Boş,Bilinmiyor,Evet,Yok,,,Genel Fiyat,Kat İrtifakı,,,,,,,,,,,,,,
